sport,championat,league,match,event,status,coefficient,percent,good
Soccer, Brazil,Campeonato Piauiense,River-PI - Parnahyba,1X2,2,8.44,18,0
Soccer, Brazil,Campeonato Piauiense,River-PI - Parnahyba,O/U 3.5,Over,2.26,18,0
Soccer, Brazil,Campeonato Piauiense,River-PI - Parnahyba,O/U 4.5,Over,3.7,24,0
Soccer, Brazil,Serie A,Goias - Sao Paulo,EH  1,2,2.25,14,1
Soccer, Brazil,Serie A,Goias - Sao Paulo,EH  2,2,4.46,16,1
Soccer, Brazil,Serie A,Goias - Sao Paulo,AH  1.5,2,2.12,17,1
Soccer, Brazil,Serie A,Goias - Sao Paulo,AH  1,2,1.69,16,1
Soccer, Brazil,Serie A,Goias - Sao Paulo,EH  3,2,10.33,15,0
Soccer, Brazil,Serie A,Goias - Sao Paulo,EH  3,X,6.7,15,1
Soccer, Brazil,Serie A,Goias - Sao Paulo,AH  1.25,2,1.87,17,1
Soccer, Brazil,Serie A,Goias - Sao Paulo,AH  1.75,2,2.77,16,1
Soccer, Brazil,Serie A,Goias - Sao Paulo,O/U 5.5,Over,10.88,17,0
Soccer, Brazil,Serie A,Goias - Sao Paulo,AH  2.5,2,4.37,15,1
Soccer, Brazil,Serie A,Goias - Sao Paulo,AH  2,2,3.77,14,1
Soccer, Brazil,Serie A,Goias - Sao Paulo,AH  3.5,2,8.84,15,0
Soccer, Netherlands,Eredivisie,Utrecht - AZ Alkmaar,EH -2,1,12.3,14,0
Hockey, Russia,KHL,Dinamo Riga - Nizhny Novgorod,EH  3,2,8.11,21,0
Hockey, Russia,KHL,Dinamo Riga - Nizhny Novgorod,EH  2,2,4.15,17,0
Hockey, Russia,KHL,Dinamo Riga - Nizhny Novgorod,AH  2.5,2,3.99,15,0
Soccer, Poland,Ekstraklasa,Lech Poznan - Pogon Szczecin,DNB,2,3,18,1
Soccer, Slovakia,2. liga,Poprad - Podbrezova,1X2,1,7.88,16,0
Soccer, Cyprus,First Division,APOEL - Doxa,1X2,2,6.04,26,0
Soccer, Northern Ireland,Premiership Women,Derry City W - Cliftonville W,1X2,1,10.74,22,0
Soccer, Thailand,Thai League 1,Port MTI FC - Muang Thong Utd,DNB,2,3.04,26,0
Soccer, Thailand,Thai League 1,Port MTI FC - Muang Thong Utd,1X2,2,4.01,23,0
Hockey, Slovakia,Tipos Extraliga,Zvolen - Liptovsky Mikulas,1X2,2,7.09,14,0
Soccer, Italy,Serie B,Monza - L.R. Vicenza,EH  2,2,37,17,0
Soccer, Belgium,Jupiler League,Waasland-Beveren - Oostende,EH  2,2,4.41,24,0
Soccer, Belgium,Jupiler League,Waasland-Beveren - Oostende,AH  2,2,3.7,21,0
Hockey, Slovakia,Tipos Extraliga,Poprad - Nove Zamky,DC,X2,2.58,15,0
